English,Spanish
Create Support Ticket,Crear ticket de soporte
Open New Ticket,Abrir nuevo ticket
Support ticket removed successfully!,¡Boleto de soporte eliminado exitosamente!
Files added successfully!,Archivos añadidos con éxito!
Please try again!,¡Inténtalo de nuevo!
Support ticket generated successfully!,¡Ticket de soporte generado con éxito!
Ticket Number,Numero de ticket
Last Reply,Última respuesta
Create Support Ticket,Crear ticket de soporte
High,Alto
Normal,Normal
Low,Bajo
Open,Abierto
Answerd,Answerd
Customer-Reply,Respuesta del cliente
On-hold,En espera
Close,Cerrar
Attach more files,Adjuntar mas archivos
Reply,Respuesta
Edit Ticket,Editar Ticket
Close Support Ticket,Cerrar Ticket de soporte
Department,Departamento
Add Department,Añadir departamento
Create Department,Crear departamento
Add Department,Añadir departamento
Department added successfully!,Departamento añadido con éxito!
Department removed successfully!,Departamento eliminado con éxito!
Email Address,Dirección de correo electrónico
SMTP Host,Host SMTP
Sub Admin,Sub Admin
SMTP Details,Detalles SMTP
Department User,Usuario del departamento
Department Additional Email Address,Dirección de correo electrónico adicional del departamento
Department List,Lista de departamentos
Import Area Code,Código de área de importación
Records Imported Successfully,Registros importados con éxito
Records Not Imported,Registros no importados
Back to Area Code List,Volver a la lista de códigos de área
Download Errors,Errores de descarga
Support Tickets,Entradas de apoyo
Support Ticket,Boleto de soporte
