English,French
Create Support Ticket,Créer un ticket de support
Open New Ticket,Ouvrir un nouveau ticket
Support ticket removed successfully!,Ticket de support supprimé avec succès!
Files added successfully!,Fichiers ajoutés avec succès!
Please try again!,Veuillez réessayer!
Support ticket generated successfully!,Ticket de support généré avec succès!
Ticket Number,Numéro de billet
Last Reply,Dernière réponse
Create Support Ticket,Créer un ticket de support
High,Haute
Normal,Ordinaire
Low,Faible
Open,Ouvrir
Answerd,Answerd
Customer-Reply,Réponse du client
On-hold,En attente
Close,Fermer
Attach more files,Joindre plus de fichiers
Reply,Répondre
Edit Ticket,Editer un ticket
Close Support Ticket,Fermer le ticket de support
Department,département
Add Department,Ajouter un département
Create Department,Créer un département
Add Department,Ajouter un département
Department added successfully!,Département ajouté avec succès!
Department removed successfully!,Département supprimé avec succès!
Email Address,Adresse électronique
SMTP Host,Hôte SMTP
Sub Admin,Sous-administrateur
SMTP Details,Détails SMTP
Department User,Utilisateur du département
Department Additional Email Address,Adresse électronique supplémentaire du département
Department List,Liste des départements
Import Area Code,Code de zone d'importation
Records Imported Successfully,Enregistrements importés avec succès
Records Not Imported,Enregistrements non importés
Back to Area Code List,Retour à la liste des indicatifs régionaux
Download Errors,Erreurs de téléchargement
Support Tickets,Billets de soutien
Support Ticket,Ticket de support
