English,Portuguese
Create Support Ticket,Criar ticket de suporte
Open New Ticket,Abrir novo ticket
Support ticket removed successfully!,Bilhete de suporte removido com sucesso!
Files added successfully!,Arquivos adicionados com sucesso!
Please try again!,"Por favor, tente novamente!"
Support ticket generated successfully!,Bilhete de suporte gerado com sucesso!
Ticket Number,Número do bilhete
Last Reply,Última resposta
Create Support Ticket,Criar ticket de suporte
High,Alto
Normal,Normal
Low,Baixo
Open,Abrir
Answerd,Responder
Customer-Reply,Resposta do cliente
On-hold,Em espera
Close,Perto
Attach more files,Anexar mais arquivos
Reply,Resposta
Edit Ticket,Editar ticket
Close Support Ticket,Fechar ticket de suporte
Department,Departamento
Add Department,Adicionar Departamento
Create Department,Criar departamento
Add Department,Adicionar Departamento
Department added successfully!,Departamento adicionado com sucesso!
Department removed successfully!,Departamento removido com sucesso!
Email Address,Endereço de e-mail
SMTP Host,Host SMTP
Sub Admin,Administrador Sub
SMTP Details,Detalhes do SMTP
Department User,Usuário do departamento
Department Additional Email Address,Endereço de email adicional do departamento
Department List,Lista de Departamentos
Import Area Code,Importar código de área
Records Imported Successfully,Registros importados com sucesso
Records Not Imported,Registros não importados
Back to Area Code List,Regressar à lista de códigos de área
Download Errors,Erros de download
Support Tickets,Bilhetes de suporte
Support Ticket,Bilhete de Suporte
