English,Russian
Create Support Ticket,Создать службу поддержки
Open New Ticket,Открыть новый билет
Support ticket removed successfully!,Служба поддержки успешно удалена!
Files added successfully!,Файлы успешно добавлены!
Please try again!,"Пожалуйста, попробуйте еще раз!"
Support ticket generated successfully!,Билет поддержки сгенерирован успешно!
Ticket Number,Номер билета
Last Reply,Последний ответ
Create Support Ticket,Создать службу поддержки
High,Высоко
Normal,Нормальный
Low,Низкий
Open,открыто
Answerd,Answerd
Customer-Reply,Клиент-ответ
On-hold,На удерживании
Close,близко
Attach more files,Прикрепить больше файлов
Reply,Ответить
Edit Ticket,Редактировать билет
Close Support Ticket,Закрыть службу поддержки
Department,отдел
Add Department,Добавить отдел
Create Department,Создать отдел
Add Department,Добавить отдел
Department added successfully!,Отдел успешно добавлен!
Department removed successfully!,Отдел успешно удален!
Email Address,Адрес электронной почты
SMTP Host,SMTP Host
Sub Admin,Sub Admin
SMTP Details,Подробности SMTP
Department User,Пользователь отдела
Department Additional Email Address,Дополнительный электронный адрес отдела
Department List,Список отделов
Import Area Code,Импортировать код города
Records Imported Successfully,Записи успешно импортированы
Records Not Imported,Записи не импортированы
Back to Area Code List,Вернуться к списку кодов городов
Download Errors,Ошибки при загрузке
Support Tickets,Билеты поддержки
Support Ticket,Билет поддержки
